Model,dim,penalty,C,Accuracy,F1,Precision,Recall,AUC-ROC,AUC-PR
1.  LB  (Lookback Lens baseline),576,l2,0.001,0.5666666666666667,0.3157894736842105,0.22727272727272727,0.5172413793103449,0.604160729552579,0.29303032846736465
2.  TP  (Token probability),17,l2,1e-05,0.62,0.3595505617977528,0.26666666666666666,0.5517241379310345,0.6366486178398404,0.3079562810220011
3.  PLC (Per-layer ctx concentration),36,l2,10.0,0.5066666666666667,0.3148148148148148,0.21518987341772153,0.5862068965517241,0.5762325448845825,0.22442380896235326
4.  PLE (Per-layer attn entropy),36,l2,0.1,0.64,0.3076923076923077,0.24489795918367346,0.41379310344827586,0.5956112852664577,0.23887542604847423
5.  PLH (Per-layer head disagreement),36,l2,1e-05,0.5666666666666667,0.32989690721649484,0.23529411764705882,0.5517241379310345,0.6013109147905387,0.23286900160419557
6.  PLA (All per-layer: PLC+PLE+PLH),108,l2,0.01,0.5933333333333334,0.26506024096385544,0.2037037037037037,0.3793103448275862,0.5642633228840126,0.21066554787536146
7.  HS  (Hidden-state probe),2048,l2,0.0001,0.7666666666666667,0.36363636363636365,0.38461538461538464,0.3448275862068966,0.7030493017953833,0.31871947258967764
8.  LB + TP,593,l2,0.001,0.5733333333333334,0.3333333333333333,0.23880597014925373,0.5517241379310345,0.6138500997435167,0.31707481665026743
9.  LB + CAT (Context attn trajectory),586,l2,0.001,0.5866666666666667,0.3404255319148936,0.24615384615384617,0.5517241379310345,0.6087204331718439,0.302655541782498
10. LB + PLA,684,l2,0.001,0.58,0.29213483146067415,0.21666666666666667,0.4482758620689655,0.6027358221715589,0.2873018823338138
11. LB + HS,2624,l2,0.0001,0.6466666666666666,0.4175824175824176,0.3064516129032258,0.6551724137931034,0.6828156169848959,0.3071634454959479
12. Full system (LB + all scalar + HS),2765,l2,0.0001,0.6133333333333333,0.3695652173913043,0.2698412698412698,0.5862068965517241,0.6736962097463663,0.3052257397898518
